,tokens,topic,aspect,label,type
0,"['i', 'charge', 'it', 'at', 'night', 'and', 'skip', 'taking', 'the', 'cord', 'with', 'me', 'because', 'of', 'the', 'good', 'battery', 'life', '.']",laptop,['cord'],1,train
1,"['i', 'charge', 'it', 'at', 'night', 'and', 'skip', 'taking', 'the', 'cord', 'with', 'me', 'because', 'of', 'the', 'good', 'battery', 'life', '.']",laptop,"['battery', 'life']",2,train
2,"['the', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1-to-1', 'exchange', 'and', 'i', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', '``', 'sales', ""''"", 'team', ',', 'which', 'is', 'the', 'retail', 'shop', 'which', 'i', 'bought', 'my', 'netbook', 'from', '.']",laptop,"['service', 'center']",0,train
3,"['the', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1-to-1', 'exchange', 'and', 'i', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', '``', 'sales', ""''"", 'team', ',', 'which', 'is', 'the', 'retail', 'shop', 'which', 'i', 'bought', 'my', 'netbook', 'from', '.']",laptop,"['``', 'sales', ""''"", 'team']",0,train
4,"['the', 'tech', 'guy', 'then', 'said', 'the', 'service', 'center', 'does', 'not', 'do', '1-to-1', 'exchange', 'and', 'i', 'have', 'to', 'direct', 'my', 'concern', 'to', 'the', '``', 'sales', ""''"", 'team', ',', 'which', 'is', 'the', 'retail', 'shop', 'which', 'i', 'bought', 'my', 'netbook', 'from', '.']",laptop,"['tech', 'guy']",1,train
5,"['it', 'is', 'of', 'high', 'quality', ',', 'has', 'a', 'killer', 'gui', ',', 'is', 'extremely', 'stable', ',', 'is', 'highly', 'expandable', ',', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', ',', 'is', 'easy', 'to', 'use', ',', 'and', 'is', 'absolutely', 'gorgeous', '.']",laptop,['quality'],2,train
6,"['it', 'is', 'of', 'high', 'quality', ',', 'has', 'a', 'killer', 'gui', ',', 'is', 'extremely', 'stable', ',', 'is', 'highly', 'expandable', ',', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', ',', 'is', 'easy', 'to', 'use', ',', 'and', 'is', 'absolutely', 'gorgeous', '.']",laptop,['gui'],2,train
7,"['it', 'is', 'of', 'high', 'quality', ',', 'has', 'a', 'killer', 'gui', ',', 'is', 'extremely', 'stable', ',', 'is', 'highly', 'expandable', ',', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', ',', 'is', 'easy', 'to', 'use', ',', 'and', 'is', 'absolutely', 'gorgeous', '.']",laptop,['applications'],2,train
8,"['it', 'is', 'of', 'high', 'quality', ',', 'has', 'a', 'killer', 'gui', ',', 'is', 'extremely', 'stable', ',', 'is', 'highly', 'expandable', ',', 'is', 'bundled', 'with', 'lots', 'of', 'very', 'good', 'applications', ',', 'is', 'easy', 'to', 'use', ',', 'and', 'is', 'absolutely', 'gorgeous', '.']",laptop,['use'],2,train
9,"['easy', 'to', 'start', 'up', 'and', 'does', 'not', 'overheat', 'as', 'much', 'as', 'other', 'laptops', '.']",laptop,"['start', 'up']",2,train
10,"['i', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'ichat', ',', 'photobooth', ',', 'garage', 'band', 'and', 'more', '!']",laptop,['features'],2,train
11,"['i', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'ichat', ',', 'photobooth', ',', 'garage', 'band', 'and', 'more', '!']",laptop,['ichat'],2,train
12,"['i', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'ichat', ',', 'photobooth', ',', 'garage', 'band', 'and', 'more', '!']",laptop,['photobooth'],2,train
13,"['i', 'even', 'got', 'my', 'teenage', 'son', 'one', ',', 'because', 'of', 'the', 'features', 'that', 'it', 'offers', ',', 'like', ',', 'ichat', ',', 'photobooth', ',', 'garage', 'band', 'and', 'more', '!']",laptop,"['garage', 'band']",2,train
14,"['great', 'laptop', 'that', 'offers', 'many', 'great', 'features', '!']",laptop,['features'],2,train
15,"['one', 'night', 'i', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'i', 'turn', 'it', 'on', ',', 'no', 'gui', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']",laptop,['gui'],0,train
16,"['one', 'night', 'i', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'i', 'turn', 'it', 'on', ',', 'no', 'gui', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']",laptop,['screen'],0,train
17,"['one', 'night', 'i', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'i', 'turn', 'it', 'on', ',', 'no', 'gui', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']",laptop,"['power', 'light']",1,train
18,"['one', 'night', 'i', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', ',', 'the', 'next', 'day', 'i', 'turn', 'it', 'on', ',', 'no', 'gui', ',', 'screen', 'all', 'dark', ',', 'power', 'light', 'steady', ',', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does', '.']",laptop,"['hard', 'drive', 'ligh']",0,train
19,"['my', 'only', 'disappointment', 'with', 'the', '13', ""''"", 'model', 'is', 'that', 'they', ""'re"", 'the', 'only', 'ones', 'in', 'the', 'macbook', 'pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', ',', 'however', 'the', 'trade-off', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', '(', 'of', 'about', '2', 'more', 'hours', ')', '.']",laptop,['processor'],0,train
20,"['my', 'only', 'disappointment', 'with', 'the', '13', ""''"", 'model', 'is', 'that', 'they', ""'re"", 'the', 'only', 'ones', 'in', 'the', 'macbook', 'pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', ',', 'however', 'the', 'trade-off', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', '(', 'of', 'about', '2', 'more', 'hours', ')', '.']",laptop,"['graphics', 'cards']",0,train
21,"['my', 'only', 'disappointment', 'with', 'the', '13', ""''"", 'model', 'is', 'that', 'they', ""'re"", 'the', 'only', 'ones', 'in', 'the', 'macbook', 'pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', ',', 'however', 'the', 'trade-off', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', '(', 'of', 'about', '2', 'more', 'hours', ')', '.']",laptop,"['battery', 'life']",2,train
22,"['i', 'took', 'it', 'back', 'for', 'an', 'asus', 'and', 'same', 'thing-', 'blue', 'screen', 'which', 'required', 'me', 'to', 'remove', 'the', 'battery', 'to', 'reset', '.']",laptop,['battery'],1,train
23,"['in', 'the', 'shop', ',', 'these', 'macbooks', 'are', 'encased', 'in', 'a', 'soft', 'rubber', 'enclosure', '-', 'so', 'you', 'will', 'never', 'know', 'about', 'the', 'razor', 'edge', 'until', 'you', 'buy', 'it', ',', 'get', 'it', 'home', ',', 'break', 'the', 'seal', 'and', 'use', 'it', '(', 'very', 'clever', 'con', ')', '.']",laptop,"['rubber', 'enclosure']",2,train
24,"['in', 'the', 'shop', ',', 'these', 'macbooks', 'are', 'encased', 'in', 'a', 'soft', 'rubber', 'enclosure', '-', 'so', 'you', 'will', 'never', 'know', 'about', 'the', 'razor', 'edge', 'until', 'you', 'buy', 'it', ',', 'get', 'it', 'home', ',', 'break', 'the', 'seal', 'and', 'use', 'it', '(', 'very', 'clever', 'con', ')', '.']",laptop,['edge'],0,train
25,"['however', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '(', 'unless', 'you', ""'re"", 'gaming', ')', '.']",laptop,"['multi-touch', 'gestures']",2,train
26,"['however', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '(', 'unless', 'you', ""'re"", 'gaming', ')', '.']",laptop,"['tracking', 'area']",2,train
27,"['however', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '(', 'unless', 'you', ""'re"", 'gaming', ')', '.']",laptop,"['external', 'mouse']",1,train
28,"['however', ',', 'the', 'multi-touch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', '(', 'unless', 'you', ""'re"", 'gaming', ')', '.']",laptop,['gaming'],1,train
29,"['i', 'love', 'the', 'way', 'the', 'entire', 'suite', 'of', 'software', 'works', 'together', '.']",laptop,"['suite', 'of', 'software']",2,train
30,"['the', 'speed', 'is', 'incredible', 'and', 'i', 'am', 'more', 'than', 'satisfied', '.']",laptop,['speed'],2,train
31,"['this', 'laptop', 'meets', 'every', 'expectation', 'and', 'windows', '7', 'is', 'great', '!']",laptop,"['windows', '7']",2,train
32,"['i', 'can', 'barely', 'use', 'any', 'usb', 'devices', 'because', 'they', 'will', 'not', 'stay', 'connected', 'properly', '.']",laptop,"['usb', 'devices']",0,train
